"sha256","group_file_count","bytes_per_copy","potential_duplicate_bytes_beyond_one_copy","relative_path"
"0227029195ECA0E0850FCD7F1D151EC7F85AC4FF6476D48A93B92C2D12E5804E","2","3307","3307","Reference/PressShop/RemainingMachineryPack_v1.0/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/data/fault_matrix.csv"
"0227029195ECA0E0850FCD7F1D151EC7F85AC4FF6476D48A93B92C2D12E5804E","2","3307","3307","ReferencePacks/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/data/fault_matrix.csv"
"02A1C086A30DEBA0933354CA23AD156A9353F94D46B311268E335DB8D76244B1","2","771","771","Reference/PressShop/RemainingMachineryPack_v1.0/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/data/station_dimensions_and_datums.csv"
"02A1C086A30DEBA0933354CA23AD156A9353F94D46B311268E335DB8D76244B1","2","771","771","ReferencePacks/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/data/station_dimensions_and_datums.csv"
"02F94BDA43EA8AA4C63880F3C2D9BF1C2AC5A638471946C71247A1D297E4FCAA","2","103357","103357","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/06_FixedSafetyFence/Original/left.png"
"02F94BDA43EA8AA4C63880F3C2D9BF1C2AC5A638471946C71247A1D297E4FCAA","2","103357","103357","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/06_FixedSafetyFence/left.png"
"0582E38F1AF7CB2753E535CA211286E195E76A8CB052EC5C377BD5C0879145F7","2","5959","5959","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v638/04_S05SlugCollectionSystem/task_complete.json"
"0582E38F1AF7CB2753E535CA211286E195E76A8CB052EC5C377BD5C0879145F7","2","5959","5959","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v638/04_S05SlugCollectionSystem/task_latest.json"
"05A256952F91BE40DFD54DBC418B4C85B9E264D215EC7DBDD3798206347682F3","2","381425","381425","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/04_LeftAccessDoor/Original/front.png"
"05A256952F91BE40DFD54DBC418B4C85B9E264D215EC7DBDD3798206347682F3","2","381425","381425","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/04_LeftAccessDoor/front.png"
